"description"	"symbol"	"efo"	"gene"	"chromosome"	"init_pos"	"genome_reference"	"chosen_gene_idx"	"position"	"row_number"
"Melanoma"	"IL2RA"	"EFO_0000756"	"ENSG00000134460"	"chr10"	6036528	"hg38"	3	5964963.5	816
"Melanoma"	"MAP2K1"	"EFO_0000756"	"ENSG00000169032"	"chr15"	66439228	"hg38"	0	66439228	817
"Melanoma"	"MAP2K2"	"EFO_0000756"	"ENSG00000126934"	"chr19"	4107221.5	"hg38"	1	4107221.5	818
"Melanoma"	"PDCD1"	"EFO_0000756"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	819
"Melanoma"	"PMEL"	"EFO_0000756"	"ENSG00000185664"	"chr12"	55960073.5	"hg38"	16	56109234.5	820
"Menopause"	"AR"	"EFO_0003922"	"ENSG00000169083"	"chrX"	67637320	"hg38"	2	68237919.5	821
"Menopause"	"CACNA2D1"	"EFO_0003922"	"ENSG00000153956"	"chr7"	82195110.5	"hg38"	2	81734528.5	822
"Menopause"	"ESR1"	"EFO_0003922"	"ENSG00000091831"	"chr6"	151955478	"hg38"	4	151461283.5	823
"Menopause"	"PGR"	"EFO_0003922"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	824
"Menopause"	"SLC6A2"	"EFO_0003922"	"ENSG00000103546"	"chr16"	55681090	"hg38"	5	55860763.5	825
"Menopause"	"SLC6A4"	"EFO_0003922"	"ENSG00000108576"	"chr17"	30215008	"hg38"	1	30215008	826
"Menopause"	"TACR3"	"EFO_0003922"	"ENSG00000169836"	"chr4"	103653008	"hg38"	1	103653008	827
"Menorrhagia"	"FGA"	"HP_0000132"	"ENSG00000171560"	"chr4"	154588008.5	"hg38"	7	154805042.5	828
"Menorrhagia"	"FGB"	"HP_0000132"	"ENSG00000171564"	"chr4"	154567909	"hg38"	6	154748560	829
"Menorrhagia"	"FGG"	"HP_0000132"	"ENSG00000171557"	"chr4"	154608413.5	"hg38"	1	154608413.5	830
"Menorrhagia"	"PGR"	"HP_0000132"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	831
"Menstruation Disturbances"	"PGR"	"EFO_0010270"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	832
"Mesothelioma"	"DHFR"	"EFO_0000588"	"ENSG00000228716"	"chr5"	80640604.5	"hg38"	1	80640604.5	833
"Mesothelioma"	"GART"	"EFO_0000588"	"ENSG00000159131"	"chr21"	33523025	"hg38"	1	33523025	834
"Mesothelioma"	"PDCD1"	"EFO_0000588"	"ENSG00000188389"	"chr2"	241854389	"hg38"	3	241813303	835
"Mesothelioma"	"TYMS"	"EFO_0000588"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	1	665615.5	836
"Metabolism, Inborn Errors"	"MC4R"	"MONDO_0019052"	"ENSG00000166603"	"chr18"	60371918.5	"hg38"	1	60371918.5	837
"Migraine Disorders"	"CALCA"	"MONDO_0005277"	"ENSG00000110680"	"chr11"	14970426	"hg38"	1	14970426	838
"Migraine Disorders"	"CALCB"	"MONDO_0005277"	"ENSG00000175868"	"chr11"	15076115	"hg38"	2	15181065.5	839
"Migraine Disorders"	"CALCRL"	"MONDO_0005277"	"ENSG00000064989"	"chr2"	187395108	"hg38"	1	187395108	840
"Migraine Disorders"	"GRIA1"	"MONDO_0005277"	"ENSG00000155511"	"chr5"	153652269.5	"hg38"	1	153652269.5	841
"Migraine Disorders"	"HTR1B"	"MONDO_0005277"	"ENSG00000135312"	"chr6"	77462207.5	"hg38"	1	77462207.5	842
"Migraine Disorders"	"HTR1D"	"MONDO_0005277"	"ENSG00000179546"	"chr1"	23204698.5	"hg38"	1	23204698.5	843
"Migraine Disorders"	"HTR1F"	"MONDO_0005277"	"ENSG00000179097"	"chr3"	87893272.5	"hg38"	2	88055477.5	844
"Migraine Disorders"	"PTGS2"	"MONDO_0005277"	"ENSG00000073756"	"chr1"	186676107	"hg38"	0	186676107	845
"Migraine Disorders"	"SCN1A"	"MONDO_0005277"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	4	165770917.5	846
"Migraine Disorders"	"SCN2A"	"MONDO_0005277"	"ENSG00000136531"	"chr2"	165315859	"hg38"	6	164761005.5	847
"Migraine Disorders"	"SCN3A"	"MONDO_0005277"	"ENSG00000153253"	"chr2"	165145788	"hg38"	1	165145788	848
"Migraine Disorders"	"SCN5A"	"MONDO_0005277"	"ENSG00000183873"	"chr3"	38598874.5	"hg38"	4	38473516	849
"Mucocutaneous Lymph Node Syndrome"	"NR3C1"	"EFO_0004246"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	850
"Mucopolysaccharidosis IV"	"GALNS"	"Orphanet_582"	"ENSG00000141012"	"chr16"	88835340.5	"hg38"	1	88835340.5	851
"Multiple Myeloma"	"ANPEP"	"EFO_0001378"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	1	89799873.5	852
"Multiple Myeloma"	"CCL3"	"EFO_0001378"	"ENSG00000277632"	"chr17"	36089199.5	"hg38"	1	36089199.5	853
"Multiple Myeloma"	"CCL4"	"EFO_0001378"	"ENSG00000275302"	"chr17"	36104720.5	"hg38"	2	36089199.5	854
"Multiple Myeloma"	"CD38"	"EFO_0001378"	"ENSG00000004468"	"chr4"	15815780	"hg38"	1	15815780	855
"Multiple Myeloma"	"CD3E"	"EFO_0001378"	"ENSG00000198851"	"chr11"	118310451.5	"hg38"	8	118405726.5	856
"Multiple Myeloma"	"CRBN"	"EFO_0001378"	"ENSG00000113851"	"chr3"	3164851	"hg38"	4	2578412.5	857
"Multiple Myeloma"	"HDAC1"	"EFO_0001378"	"ENSG00000116478"	"chr1"	32312854.5	"hg38"	1	32312854.5	858
"Multiple Myeloma"	"HDAC2"	"EFO_0001378"	"ENSG00000196591"	"chr6"	113952088	"hg38"	1	113952088	859
"Multiple Myeloma"	"IFNAR2"	"EFO_0001378"	"ENSG00000159110"	"chr21"	33247801	"hg38"	6	33071277	860
"Multiple Myeloma"	"NFKB1"	"EFO_0001378"	"ENSG00000109320"	"chr4"	102559330.5	"hg38"	6	102960316.5	861
"Multiple Myeloma"	"NR3C1"	"EFO_0001378"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	862
"Multiple Myeloma"	"PIK3CD"	"EFO_0001378"	"ENSG00000171608"	"chr1"	9690422.5	"hg38"	1	9690422.5	863
"Multiple Myeloma"	"SLAMF7"	"EFO_0001378"	"ENSG00000026751"	"chr1"	160747034	"hg38"	2	160695284	864
"Multiple Myeloma"	"TNFRSF17"	"EFO_0001378"	"ENSG00000048462"	"chr16"	11966639	"hg38"	2	12275510.5	865
"Multiple Myeloma"	"TOP2A"	"EFO_0001378"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	19	40077983.5	866
"Multiple Myeloma"	"XPO1"	"EFO_0001378"	"ENSG00000082898"	"chr2"	61508102.5	"hg38"	0	61508102.5	867
"Multiple Sclerosis"	"GABBR1"	"MONDO_0005301"	"ENSG00000204681"	"chr6"	29617710.5	"hg38"	3	29664728.5	868
"Multiple Sclerosis"	"IFNAR2"	"MONDO_0005301"	"ENSG00000159110"	"chr21"	33247801	"hg38"	12	33550695	869
"Multiple Sclerosis"	"IFNB1"	"MONDO_0005301"	"ENSG00000171855"	"chr9"	21077523	"hg38"	1	21077523	870
"Muscle Spasticity"	"GABBR1"	"HP_0001257"	"ENSG00000204681"	"chr6"	29617710.5	"hg38"	1	29617710.5	871
"Muscular Atrophy, Spinal"	"SMN1"	"EFO_0008525"	"ENSG00000172062"	"chr5"	70939051	"hg38"	1	70939051	872
"Muscular Atrophy, Spinal"	"SMN2"	"EFO_0008525"	"ENSG00000205571"	"chr5"	70063632	"hg38"	3	69577706	873
"Myasthenia Gravis"	"C5"	"EFO_0004991"	"ENSG00000106804"	"chr9"	121001305	"hg38"	3	120914594.5	874
"Myasthenia Gravis"	"FCGRT"	"EFO_0004991"	"ENSG00000104870"	"chr19"	49519544.5	"hg38"	1	49519544.5	875
"Myelodysplastic Syndromes"	"ACVRL1"	"EFO_0000198"	"ENSG00000139567"	"chr12"	51915432.5	"hg38"	12	52241082	876
"Myeloproliferative Disorders"	"FGFR1"	"EFO_0004251"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	877
"Myeloproliferative Disorders"	"FGFR2"	"EFO_0004251"	"ENSG00000066468"	"chr10"	121538388	"hg38"	3	121966154	878
"Myeloproliferative Disorders"	"FGFR3"	"EFO_0004251"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	879
"Myocardial Infarction"	"ACE"	"EFO_0000612"	"ENSG00000159640"	"chr17"	63487717	"hg38"	1	63487717	880
"Myocardial Infarction"	"F10"	"EFO_0000612"	"ENSG00000126218"	"chr13"	113136164	"hg38"	6	113238360.5	881
"Myocardial Infarction"	"F2"	"EFO_0000612"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	882
"Myocardial Infarction"	"PLAT"	"EFO_0000612"	"ENSG00000104368"	"chr8"	42191141.5	"hg38"	1	42191141.5	883
"Myocardial Infarction"	"PLAU"	"EFO_0000612"	"ENSG00000122861"	"chr10"	73914313	"hg38"	6	73793699.5	884
"Myocardial Infarction"	"PLG"	"EFO_0000612"	"ENSG00000122194"	"chr6"	160728170.5	"hg38"	1	160728170.5	885
"Myocardial Infarction"	"SERPINC1"	"EFO_0000612"	"ENSG00000117601"	"chr1"	173910563.5	"hg38"	1	173910563.5	886
"Myopia"	"FLT1"	"HP_0000545"	"ENSG00000102755"	"chr13"	28397737	"hg38"	1	28397737	887
"Myopia"	"KDR"	"HP_0000545"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	888
"Myopia"	"VEGFA"	"HP_0000545"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	889
"Myositis Ossificans"	"RARG"	"Orphanet_337"	"ENSG00000172819"	"chr12"	53221389	"hg38"	1	53221389	890
"Myotonia"	"SCN5A"	"HP_0002486,HP_0010548"	"ENSG00000183873"	"chr3"	38598874.5	"hg38"	0	38598874.5	891
"Narcolepsy"	"HRH3"	"MONDO_0021107"	"ENSG00000101180"	"chr20"	62217619	"hg38"	1	62217619	892
"Narcolepsy"	"SLC6A2"	"MONDO_0021107"	"ENSG00000103546"	"chr16"	55681090	"hg38"	1	55681090	893
"Narcolepsy"	"SLC6A3"	"MONDO_0021107"	"ENSG00000142319"	"chr5"	1419117	"hg38"	2	1492693.5	894
"Opioid-Related Disorders"	"OPRD1"	"EFO_0005611"	"ENSG00000116329"	"chr1"	28841718.5	"hg38"	0	28841718.5	895
"Opioid-Related Disorders"	"OPRK1"	"EFO_0005611"	"ENSG00000082556"	"chr8"	53238680.5	"hg38"	1	53238680.5	896
"Opioid-Related Disorders"	"OPRM1"	"EFO_0005611"	"ENSG00000112038"	"chr6"	154085798	"hg38"	1	154085798	897
"Nasal Polyps"	"IL4R"	"HP_0100582"	"ENSG00000077238"	"chr16"	27339376	"hg38"	1	27339376	898
"Nasal Polyps"	"IL5RA"	"HP_0100582"	"ENSG00000091181"	"chr3"	3088349	"hg38"	1	3088349	899
"Nasal Polyps"	"NR3C1"	"HP_0100582"	"ENSG00000113580"	"chr5"	143340810	"hg38"	2	142999692	900
"Nasopharyngeal Neoplasms"	"PDCD1"	"EFO_0004252"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	901
"Nausea"	"CNR1"	"HP_0002018,HP_0002017"	"ENSG00000118432"	"chr6"	88153105.5	"hg38"	1	88153105.5	902
"Nausea"	"DRD2"	"HP_0002018,HP_0002017"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	9	113836723.5	903
"Nausea"	"HTR3A"	"HP_0002018,HP_0002017"	"ENSG00000166736"	"chr11"	113982710.5	"hg38"	2	113926937.5	904
"Nausea"	"OPRD1"	"HP_0002018,HP_0002017"	"ENSG00000116329"	"chr1"	28841718.5	"hg38"	1	28841718.5	905
"Nausea"	"OPRK1"	"HP_0002018,HP_0002017"	"ENSG00000082556"	"chr8"	53238680.5	"hg38"	1	53238680.5	906
"Nausea"	"OPRM1"	"HP_0002018,HP_0002017"	"ENSG00000112038"	"chr6"	154085798	"hg38"	3	154334971	907
"Nausea"	"TACR1"	"HP_0002018,HP_0002017"	"ENSG00000115353"	"chr2"	75122991.5	"hg38"	1	75122991.5	908
"Neoplasms"	"ABCB1"	"EFO_0000616,EFO_0000311"	"ENSG00000085563"	"chr7"	87551950.5	"hg38"	1	87551950.5	909
"Neoplasms"	"ALK"	"EFO_0000616,EFO_0000311"	"ENSG00000171094"	"chr2"	29557180	"hg38"	1	29557180	910
"Neoplasms"	"CCNG1"	"EFO_0000616,EFO_0000311"	"ENSG00000113328"	"chr5"	163441305.5	"hg38"	3	163476286.5	911
"Neoplasms"	"CD274"	"EFO_0000616,EFO_0000311"	"ENSG00000120217"	"chr9"	5460548	"hg38"	2	5397948	912
"Neoplasms"	"CSF3R"	"EFO_0000616,EFO_0000311"	"ENSG00000119535"	"chr1"	36474478	"hg38"	1	36474478	913
"Neoplasms"	"FGFR1"	"EFO_0000616,EFO_0000311"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	914
"Neoplasms"	"FGFR2"	"EFO_0000616,EFO_0000311"	"ENSG00000066468"	"chr10"	121538388	"hg38"	3	121966154	915
"Neoplasms"	"FGFR3"	"EFO_0000616,EFO_0000311"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	916
"Neoplasms"	"FGFR4"	"EFO_0000616,EFO_0000311"	"ENSG00000160867"	"chr5"	177092529.5	"hg38"	17	177465122	917
"Neoplasms"	"IFNAR2"	"EFO_0000616,EFO_0000311"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	918
"Neoplasms"	"NR3C1"	"EFO_0000616,EFO_0000311"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	919
"Neoplasms"	"NTRK1"	"EFO_0000616,EFO_0000311"	"ENSG00000198400"	"chr1"	156871357.5	"hg38"	1	156871357.5	920
"Neoplasms"	"NTRK2"	"EFO_0000616,EFO_0000311"	"ENSG00000148053"	"chr9"	84848391.5	"hg38"	1	84848391.5	921
"Neoplasms"	"NTRK3"	"EFO_0000616,EFO_0000311"	"ENSG00000140538"	"chr15"	88058245	"hg38"	2	88463433	922
"Neoplasms"	"OPRK1"	"EFO_0000616,EFO_0000311"	"ENSG00000082556"	"chr8"	53238680.5	"hg38"	1	53238680.5	923
"Neoplasms"	"OPRM1"	"EFO_0000616,EFO_0000311"	"ENSG00000112038"	"chr6"	154085798	"hg38"	3	154334971	924
"Neoplasms"	"PDCD1"	"EFO_0000616,EFO_0000311"	"ENSG00000188389"	"chr2"	241854389	"hg38"	2	241871776	925
"Neoplasms"	"RET"	"EFO_0000616,EFO_0000311"	"ENSG00000165731"	"chr10"	43103710	"hg38"	3	43230800	926
"Neoplasms"	"ROS1"	"EFO_0000616,EFO_0000311"	"ENSG00000047936"	"chr6"	117356647.5	"hg38"	2	117445891	927
"Neoplasms"	"TOP2A"	"EFO_0000616,EFO_0000311"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	2	40362694.5	928
"Neoplasms, Connective Tissue"	"FGF23"	"EFO_1000473"	"ENSG00000118972"	"chr12"	4373969.5	"hg38"	8	4588041.5	929
"Nephritis, Hereditary"	"NFE2L2"	"Orphanet_63"	"ENSG00000116044"	"chr2"	177247517.5	"hg38"	1	177247517.5	930
"Wilms Tumor"	"ANPEP"	"MONDO_0006058"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	2	89777543	931
"Wilms Tumor"	"TOP2A"	"MONDO_0006058"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	1	40403210.5	932
"Nervous System Diseases"	"IFNAR1"	"EFO_0004149,EFO_0000618"	"ENSG00000142166"	"chr21"	33342417	"hg38"	6	33464557.5	933
"Nervous System Diseases"	"TRPV1"	"EFO_0004149,EFO_0000618"	"ENSG00000196689"	"chr17"	3587428.5	"hg38"	1	3587428.5	934
"Neuralgia"	"CACNA2D1"	"EFO_0009430"	"ENSG00000153956"	"chr7"	82195110.5	"hg38"	1	82195110.5	935
"Neuralgia"	"OPRD1"	"EFO_0009430"	"ENSG00000116329"	"chr1"	28841718.5	"hg38"	6	28593857	936
"Neuralgia"	"OPRK1"	"EFO_0009430"	"ENSG00000082556"	"chr8"	53238680.5	"hg38"	1	53238680.5	937
"Neuralgia"	"OPRM1"	"EFO_0009430"	"ENSG00000112038"	"chr6"	154085798	"hg38"	1	154085798	938
"Neuralgia"	"SCN9A"	"EFO_0009430"	"ENSG00000169432"	"chr2"	166285564.5	"hg38"	1	166285564.5	939
"Neuralgia"	"SLC6A2"	"EFO_0009430"	"ENSG00000103546"	"chr16"	55681090	"hg38"	1	55681090	940
"Neuralgia"	"TRPV1"	"EFO_0009430"	"ENSG00000196689"	"chr17"	3587428.5	"hg38"	1	3587428.5	941
"Neuroblastoma"	"ANPEP"	"EFO_0000621"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	1	89799873.5	942
"Neuroblastoma"	"CD276"	"EFO_0000621"	"ENSG00000103855"	"chr15"	73699448.5	"hg38"	4	73501588.5	943
"Neuroblastoma"	"GDF2"	"EFO_0000621"	"ENSG00000263761"	"chr10"	47325021	"hg38"	2	47306887	944
"Neuroblastoma"	"TOP2A"	"EFO_0000621"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	2	40362694.5	945
"Neurofibromatosis 1"	"MAP2K1"	"Orphanet_636"	"ENSG00000169032"	"chr15"	66439228	"hg38"	2	66495615	946
"Neurofibromatosis 1"	"MAP2K2"	"Orphanet_636"	"ENSG00000126934"	"chr19"	4107221.5	"hg38"	2	4055101	947
"Neurofibromatosis 1"	"MTOR"	"Orphanet_636"	"ENSG00000198793"	"chr1"	11184543	"hg38"	2	11192668	948
"Neuromyelitis Optica"	"CD19"	"EFO_0004256"	"ENSG00000177455"	"chr16"	28935656.5	"hg38"	1	28935656.5	949
"Neuromyelitis Optica"	"IL6R"	"EFO_0004256"	"ENSG00000160712"	"chr1"	154437396.5	"hg38"	1	154437396.5	950
"Neuronal Ceroid-Lipofuscinoses"	"TPP1"	"Orphanet_216"	"ENSG00000166340"	"chr11"	6616095	"hg38"	1	6616095	951
"Neutropenia"	"ARHGEF2"	"MONDO_0001475"	"ENSG00000116584"	"chr1"	155962700.5	"hg38"	2	155951304.5	952
"Neutropenia"	"CSF3"	"MONDO_0001475"	"ENSG00000108342"	"chr17"	40016626.5	"hg38"	2	40036756	953
"Neutropenia"	"CSF3R"	"MONDO_0001475"	"ENSG00000119535"	"chr1"	36474478	"hg38"	12	36110230.5	954
"Obesity"	"GLP1R"	"EFO_0001073"	"ENSG00000112164"	"chr6"	39070042	"hg38"	0	39070042	955
"Obesity"	"HTR2C"	"EFO_0001073"	"ENSG00000147246"	"chrX"	114747073.5	"hg38"	1	114747073.5	956
"Obesity"	"MC4R"	"EFO_0001073"	"ENSG00000166603"	"chr18"	60371918.5	"hg38"	1	60371918.5	957
"Obesity"	"PPARA"	"EFO_0001073"	"ENSG00000186951"	"chr22"	46197140.5	"hg38"	1	46197140.5	958
"Obesity"	"PPARG"	"EFO_0001073"	"ENSG00000132170"	"chr3"	12361707	"hg38"	1	12361707	959
"Obsessive-Compulsive Disorder"	"SLC6A4"	"EFO_0004242"	"ENSG00000108576"	"chr17"	30215008	"hg38"	1	30215008	960
"Osteoarthritis"	"HAS2"	"MONDO_0005178"	"ENSG00000170961"	"chr8"	121626778	"hg38"	1	121626778	961
"Osteoarthritis"	"PTGS1"	"MONDO_0005178"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	962
"Osteoarthritis"	"PTGS2"	"MONDO_0005178"	"ENSG00000073756"	"chr1"	186676107	"hg38"	1	186676107	963
"Osteoarthritis"	"TGFB1"	"MONDO_0005178"	"ENSG00000105329"	"chr19"	41342122.5	"hg38"	1	41342122.5	964
"Osteomalacia"	"FGF23"	"EFO_1002027"	"ENSG00000118972"	"chr12"	4373969.5	"hg38"	0	4373969.5	965
"Osteoporosis"	"ESR1"	"EFO_0003882"	"ENSG00000091831"	"chr6"	151955478	"hg38"	1	151955478	966
"Osteoporosis"	"FDPS"	"EFO_0003882"	"ENSG00000160752"	"chr1"	155314765.5	"hg38"	12	155201742.5	967
"Osteoporosis"	"PTH1R"	"EFO_0003882"	"ENSG00000160801"	"chr3"	46890760	"hg38"	1	46890760	968
"Ovarian Neoplasms"	"ANPEP"	"MONDO_0008170"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	1	89799873.5	969
"Ovarian Neoplasms"	"BRAF"	"MONDO_0008170"	"ENSG00000157764"	"chr7"	140827797	"hg38"	1	140827797	970
"Ovarian Neoplasms"	"FGFR1"	"MONDO_0008170"	"ENSG00000077782"	"chr8"	38439889	"hg38"	2	38398001.5	971
"Ovarian Neoplasms"	"FGFR3"	"MONDO_0008170"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	972
"Ovarian Neoplasms"	"FLT1"	"MONDO_0008170"	"ENSG00000102755"	"chr13"	28397737	"hg38"	6	27983205	973
"Ovarian Neoplasms"	"FLT4"	"MONDO_0008170"	"ENSG00000037280"	"chr5"	180625553	"hg38"	2	180590802	974
"Ovarian Neoplasms"	"FOLR1"	"MONDO_0008170"	"ENSG00000110195"	"chr11"	72194219.5	"hg38"	1	72194219.5	975
"Ovarian Neoplasms"	"IFNAR2"	"MONDO_0008170"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	976
"Ovarian Neoplasms"	"KDR"	"MONDO_0008170"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	977
"Ovarian Neoplasms"	"KIT"	"MONDO_0008170"	"ENSG00000157404"	"chr4"	54699336	"hg38"	1	54699336	978
"Ovarian Neoplasms"	"PARP1"	"MONDO_0008170"	"ENSG00000143799"	"chr1"	226384392	"hg38"	1	226384392	979
"Ovarian Neoplasms"	"PARP2"	"MONDO_0008170"	"ENSG00000129484"	"chr14"	20350769.5	"hg38"	1	20350769.5	980
"Ovarian Neoplasms"	"PARP3"	"MONDO_0008170"	"ENSG00000041880"	"chr3"	51945615	"hg38"	1	51945615	981
"Ovarian Neoplasms"	"PDGFRA"	"MONDO_0008170"	"ENSG00000134853"	"chr4"	54263769	"hg38"	1	53836555.5	982
"Ovarian Neoplasms"	"PDGFRB"	"MONDO_0008170"	"ENSG00000113721"	"chr5"	150134842	"hg38"	4	150200562.5	983
"Ovarian Neoplasms"	"SMO"	"MONDO_0008170"	"ENSG00000128602"	"chr7"	129201089	"hg38"	6	128943982.5	984
"Ovarian Neoplasms"	"TOP2A"	"MONDO_0008170"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	1	40403210.5	985
"Ovarian Neoplasms"	"TUBB"	"MONDO_0008170"	"ENSG00000196230"	"chr6"	30722887	"hg38"	1	30722887	986
"Ovarian Neoplasms"	"VEGFA"	"MONDO_0008170"	"ENSG00000112715"	"chr6"	43778349	"hg38"	2	43679496.5	987
"Exocrine Pancreatic Insufficiency"	"AMY2A"	"MONDO_0001684"	"ENSG00000243480"	"chr1"	103621603.5	"hg38"	2	103660157	988
"Exocrine Pancreatic Insufficiency"	"PNLIP"	"MONDO_0001684"	"ENSG00000175535"	"chr10"	116556893	"hg38"	1	116556893	989
"Pancreatic Neoplasms"	"CSF1R"	"EFO_0002618"	"ENSG00000182578"	"chr5"	150069924.5	"hg38"	2	150026933.5	990
"Pancreatic Neoplasms"	"FGFR1"	"EFO_0002618"	"ENSG00000077782"	"chr8"	38439889	"hg38"	3	38325987.5	991
"Pancreatic Neoplasms"	"FGFR3"	"EFO_0002618"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	992
"Pancreatic Neoplasms"	"FLT1"	"EFO_0002618"	"ENSG00000102755"	"chr13"	28397737	"hg38"	1	28397737	993
"Pancreatic Neoplasms"	"FLT4"	"EFO_0002618"	"ENSG00000037280"	"chr5"	180625553	"hg38"	1	180625553	994
"Pancreatic Neoplasms"	"FYN"	"EFO_0002618"	"ENSG00000010810"	"chr6"	111766892	"hg38"	0	111766892	995
"Pancreatic Neoplasms"	"KDR"	"EFO_0002618"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	996
"Pancreatic Neoplasms"	"KIT"	"EFO_0002618"	"ENSG00000157404"	"chr4"	54699336	"hg38"	1	54699336	997
"Pancreatic Neoplasms"	"LYN"	"EFO_0002618"	"ENSG00000254087"	"chr8"	55947002	"hg38"	10	56443799	998
"Pancreatic Neoplasms"	"PARP1"	"EFO_0002618"	"ENSG00000143799"	"chr1"	226384392	"hg38"	1	226384392	999
"Pancreatic Neoplasms"	"PARP2"	"EFO_0002618"	"ENSG00000129484"	"chr14"	20350769.5	"hg38"	3	20322324.5	1000
"Pancreatic Neoplasms"	"PDGFRB"	"EFO_0002618"	"ENSG00000113721"	"chr5"	150134842	"hg38"	1	150134842	1001
"Pancreatic Neoplasms"	"TOP1"	"EFO_0002618"	"ENSG00000198900"	"chr20"	41076654.5	"hg38"	1	41076654.5	1002
"Pancreatic Neoplasms"	"TUBB"	"EFO_0002618"	"ENSG00000196230"	"chr6"	30722887	"hg38"	3	30708544	1003
"Pancreatic Neoplasms"	"TYMS"	"EFO_0002618"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	2	691474	1004
"Paraphilic Disorders"	"GNRHR"	"MONDO_0000596"	"ENSG00000109163"	"chr4"	67745753	"hg38"	0	67745753	1005
"Parkinson Disease"	"COMT"	"MONDO_0005180"	"ENSG00000093010"	"chr22"	19955873.5	"hg38"	3	19993359.5	1006
"Parkinson Disease"	"DDC"	"MONDO_0005180"	"ENSG00000132437"	"chr7"	50511923.5	"hg38"	1	50511923.5	1007
"Parkinson Disease"	"DRD1"	"MONDO_0005180"	"ENSG00000184845"	"chr5"	175442109	"hg38"	2	175504151	1008
"Parkinson Disease"	"DRD2"	"MONDO_0005180"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	1	113442501.5	1009
"Parkinson Disease"	"DRD3"	"MONDO_0005180"	"ENSG00000151577"	"chr3"	114153316	"hg38"	1	114153316	1010
"Parkinson Disease"	"GRIN1"	"MONDO_0005180"	"ENSG00000176884"	"chr9"	137153955	"hg38"	16	137225744.5	1011
"Pemphigus"	"MS4A1"	"EFO_1000749"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	1	60463299.5	1012
"Peptic Ulcer"	"CHRM1"	"MONDO_0004247"	"ENSG00000168539"	"chr11"	62915021	"hg38"	3	62980782	1013
"Peptic Ulcer"	"CHRM3"	"MONDO_0004247"	"ENSG00000133019"	"chr1"	239651009	"hg38"	1	239651009	1014
"Familial Mediterranean Fever"	"IL1B"	"Orphanet_342"	"ENSG00000125538"	"chr2"	112833265	"hg38"	1	112833265	1015
"Peritoneal Neoplasms"	"BRAF"	"EFO_1001100"	"ENSG00000157764"	"chr7"	140827797	"hg38"	1	140827797	1016
"Peritoneal Neoplasms"	"FGFR1"	"EFO_1001100"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	1017
"Peritoneal Neoplasms"	"FGFR3"	"EFO_1001100"	"ENSG00000068078"	"chr4"	1801080	"hg38"	13	2161371.5	1018
"Peritoneal Neoplasms"	"FLT1"	"EFO_1001100"	"ENSG00000102755"	"chr13"	28397737	"hg38"	0	28397737	1019
"Peritoneal Neoplasms"	"FLT4"	"EFO_1001100"	"ENSG00000037280"	"chr5"	180625553	"hg38"	2	180590802	1020
"Peritoneal Neoplasms"	"KDR"	"EFO_1001100"	"ENSG00000128052"	"chr4"	55102038	"hg38"	1	55102038	1021
